date,link
2022-05-11,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=11&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-12,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=12&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-13,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=13&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-14,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=14&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-15,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=15&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-16,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=16&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-17,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=17&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-18,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=18&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-19,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=19&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-20,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=20&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-21,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=21&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-22,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=22&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-23,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=23&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-24,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=24&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-25,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=25&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-26,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=26&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-27,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=27&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-28,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=28&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-29,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=29&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-30,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=30&yr=2022&trackco=ALL;ALL&cl=Y
2022-05-31,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=5&da=31&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-01,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=1&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-02,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=2&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-03,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=3&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-04,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=4&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-05,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=5&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-06,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=6&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-07,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=7&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-08,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=8&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-09,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=9&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-10,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=10&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-11,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=11&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-12,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=12&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-13,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=13&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-14,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=14&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-15,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=15&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-16,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=16&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-17,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=17&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-18,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=18&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-19,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=19&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-20,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=20&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-21,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=21&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-22,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=22&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-23,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=23&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-24,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=24&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-25,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=25&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-26,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=26&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-27,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=27&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-28,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=28&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-29,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=29&yr=2022&trackco=ALL;ALL&cl=Y
2022-06-30,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=6&da=30&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-01,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=1&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-02,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=2&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-03,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=3&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-04,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=4&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-05,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=5&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-06,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=6&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-07,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=7&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-08,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=8&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-09,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=9&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-10,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=10&yr=2022&trackco=ALL;ALL&cl=Y
