track,date,url
GG,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
GP,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
HAW,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HAW&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
KEE,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
LRL,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
LA,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LA&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
OP,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=OP&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
RP,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RP&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
SA,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SA&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
TAM,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TAM&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
WBR,04/10/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WBR&CTRY=USA&DT=04/10/2022&DAY=D&STYLE=EQB
CMR,04/11/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/11/2022&DAY=D&STYLE=EQB
MVR,04/11/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MVR&CTRY=USA&DT=04/11/2022&DAY=D&STYLE=EQB
PRX,04/11/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PRX&CTRY=USA&DT=04/11/2022&DAY=D&STYLE=EQB
TUP,04/11/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/11/2022&DAY=D&STYLE=EQB
WRD,04/11/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WRD&CTRY=USA&DT=04/11/2022&DAY=D&STYLE=EQB
MVR,04/12/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MVR&CTRY=USA&DT=04/12/2022&DAY=D&STYLE=EQB
PRX,04/12/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PRX&CTRY=USA&DT=04/12/2022&DAY=D&STYLE=EQB
TUP,04/12/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/12/2022&DAY=D&STYLE=EQB
