shortName,fullName
AIK,AIKEN
AJX,AJAX DOWNS
ALB,ALBUQUERQUE
AQA,AMERICAN QUARTER HORSE ASSOCIATION
ANF,ANTHONY DOWNS
AQU,AQUEDUCT
ARP,ARAPAHOE PARK
ARC,ARC DE TRIOMPHE FRANCE
AZD,ARIZONA DOWNS
AP,ARLINGTON
ASD,ASSINIBOIA DOWNS
ATH,ATLANTA
ATL,ATLANTIC CITY
ATO,ATOKAD DOWNS
BSR,BARRETTS RACE MEET AT FAIRPLEX
BM,BAY MEADOWS
BMF,BAY MEADOWS FAIR
BFF,BC BFF BREEDERS CUP FUTURE WAGER
BFS,BC BFS BREEDERS CUP FUTURE WAGER
BEL,BELMONT PARK
BTP,BELTERRA PARK
BHP,BETFAIR HOLLYWOOD PARK
BEU,BEULAH PARK
BKF,BLACK FOOT
BRD,BLUE RIBBON DOWNS
BOW,BOWIE
BCC,BREEDERS CUP JUVENILE  CLASSIC DOUBLE
BCD,BREEDERS CUP JUVENILE FILLIES  DISTAFF DOUBLE
BCJ,BREEDERS CUP JUVENILE FUTURE WAGER
BCT,BREEDERS CUP JUVENILE TURF  TURF DOUBLE
BRO,BROOKHILL FARM
BCF,BROWN COUNTY FAIR
CRC,CALDER RACE COURSE
CMR,CAMARERO RACE TRACK
CAM,CAMDEN
CBY,CANTERBURY PARK
CAS,CASSIA COUNTY FAIR
CWF,CENTRAL WYOMING FAIR
CTD,CENTURY DOWNS
CTM,CENTURY MILE
CHL,CHARLOTTE
CHE,CHESHIRE
CPW,CHIPPEWA DOWNS
CD,CHURCHILL DOWNS
CLM,CLEMMONS
DG,COCHISE COUNTY FAIR  DOUGLAS
CNL,COLONIAL DOWNS
CLS,COLUMBUS
PRV,CROOKED RIVER ROUNDUP
S13,Club Hipico Concepcion Chile
CCP,Cross Country Pick X
DAY,DAYTON
DMR,DEL MAR
DEL,DELAWARE PARK
DED,DELTA DOWNS
DEP,DESERT PARK
DXD,DIXIE DOWNS
DBA,Dual Breed A
DBB,Dual Breed B
DBC,Dual Breed Woodbine Crossover Pick 
UN,EASTERN OREGON LIVESTOCK SHOW
ELK,ELKO COUNTY FAIR
ELP,ELLIS PARK
EMD,EMERALD DOWNS
EMT,EMMETT
EDR,ENERGY DOWNS  HORSE RACING
EQG,EQUIBASE SPECIAL G
EQH,EQUIBASE SPECIAL H
EUR,EUREKA
EVD,EVANGELINE DOWNS
EP,EXHIBITION PARK
FG,FAIR GROUNDS
FAI,FAIR HILL
FMT,FAIR MEADOWS
FPL,FAIR PLAY PARK
FAX,FAIRFAX
FP,FAIRMOUNT PARK
FPX,FAIRPLEX PARK
FH,FAR HILLS
FER,FERNDALE
FL,FINGER LAKES
FON,FONNER PARK
FE,FORT ERIE
FTP,FORT PIERRE
FX,FOXFIELD
FNO,FRESNO
FAN,FanDuel Sportsbook and Horse Racing
GV,GENESEE VALLEY
GIL,GILLESPIE COUNTY FAIRGROUND
MID,GLENWOOD PARK AT MIDDLEBURG
GLN,GLYNDON
GG,GOLDEN GATE FIELDS
SAF,GRAHAM COUNTY FAIR  SAFFORD
GN,GRAND NATIONAL
GPR,GRANDE PRAIRIE
GRP,GRANTS PASS
GBF,GREAT BARRINGTON FAIR
GF,GREAT FALLS
GLD,GREAT LAKES DOWNS
GRM,GREAT MEADOW
N11,GREAT MEADOW NSA
