abbreviation,full,pdfStripSpaces
AIK,AIKEN,AIKEN
AJX,AJAX DOWNS,AJAXDOWNS
ALB,ALBUQUERQUE,ALBUQUERQUE
AP,ARLINGTON,ARLINGTON
AQU,AQUEDUCT,AQUEDUCT
ARP,ARAPAHOE,ARAPAHOE
ARP,ARAPAHOE PARK,ARAPAHOEPARK
ASD,ASSINIBOIA,ASSINIBOIA
ASD,ASSINIBOIA DOWNS,ASSINIBOIADOWNS
ATH,ATLANTA,ATLANTA
ATO,ATOKAD DOWNS,ATOKADDOWNS
AZD,ARIZONA DOWNS,ARIZONADOWNS
BEL,BELMONT PARK,BELMONTPARK
BKF,BLACK FOOT,BLACKFOOT
BRN,HARNEY COUNTY FAIR,HARNEYCOUNTYFAIR
BTP,BELTERRA PARK,BELTERRAPARK
CAM,CAMDEN,CAMDEN
CAS,CASSIA FAIR,CASSIACOUNTYFAIR
CBY,CANTERBURY PARK,CANTERBURYPARK
CD,CHURCHILL DOWNS,CHURCHILLDOWNS
CHA,CHARLESTON,CHARLESTON
CHE,CHESHIRE,CHESHIRE
CHL,CHARLOTTE,CHARLOTTE
CLS,COLUMBUS,COLUMBUS
CMR,CAMARERO RACE TRACK,CAMARERORACETRACK
CNL,COLONIAL DOWNS,COLONIALDOWNS
CPW,CHIPPEWA DOWNS,CHIPPEWADOWNS
CT,HOLLYWOOD CASINO AT CHARLES TOWN RACES,HOLLYWOODCASINOATCHARLESTOWNRACES
CTD,CENTURY DOWNS,CENTURYDOWNS
CTM,CENTURY MILE,CENTURYMILE
DED,DELTA DOWNS,DELTADOWNS
DEL,DELAWARE PARK,DELAWAREPARK
DG,COCHISE FAIR,COCHISEFAIR
DMR,DEL MAR,DELMAR
ED,ENERGY DOWNS,ENERGYDOWNS
EDR,ENERGY DOWNS 307 HORSE RACING,ENERGYDOWNSHORSERACING
ELK,ELKO FAIR,ELKOFAIR
ELP,ELLIS PARK,ELLISPARK
ELY,WHITE PINE RACING,WHITEPINERACING
EMD,EMERALD DOWNS,EMERALDDOWNS
EVD,EVANGELINE,EVANGELINE
EVD,EVANGELINE DOWNS,EVANGELINEDOWNS
FAI,FAIR HILL,FAIRHILL
FAN,FANDUEL SPORTSBOOK AND HORSE RACING,FDSHR
FAR,NORTH DAKOTA,NORTHDAKOTAHORSEPARK
FE,FORT ERIE,FORTERIE
FER,FERNDALE,FERNDALE
FG,FAIR GROUNDS,FAIRGROUNDS
FH,FAR HILLS,FARHILLS
FL,FINGER LAKES,FINGERLAKES
FMT,FAIR MEADOWS,FAIRMEADOWS
FNO,FRESNO,FRESNO
FON,FONNER PARK,FONNERPARK
FP,FAIRMOUNT PARK,FAIRMOUNTPARK
FPL,FAIR PLAY PARK,FAIRPLAYPARK
FTP,FORT PIERRE,FORTPIERRE
FX,FOXFIELD,FOXFIELD
GG,GOLDEN GATE,GOLDENGATE
GG,GOLDEN GATE FIELDS,GOLDENGATEFIELDS
GIL,GILLESPIE FAIRGROUND,GILLESPIECOUNTYFAIRGROUND
GLN,GLYNDON,GLYNDON
GN,GRAND NATIONAL,GRANDNATIONAL
GP,GULFSTREAM PARK,GULFSTREAMPARK
GPR,GRANDE PRAIRIE,GRANDEPRAIRIE
GPW,GULFSTREAM PARK WEST,GULFSTREAMPARKWEST
GRM,GREAT MEADOW,GREATMEADOW
GRP,GRANTS PASS,GRANTSPASS
GV,GENESEE VALLEY,GENESEEVALLEY
HAW,HAWTHORNE,HAWTHORNE
HOU,SAM HOUSTON,SAMHOUSTON
HOU,SAM HOUSTON RACE PARK,SAMHOUSTONRACEPARK
HP,HAZEL PARK,HAZELPARK
HPO,HORSEMENS PARK,HORSEMENSPARK
HST,HASTINGS,HASTINGS
HST,HASTINGS RACECOURSE,HASTINGSRACECOURSE
IND,INDIANA GRAND RACE COURSE,INDIANAGRANDRACECOURSE
JRM,JEROME FAIR,JEROMECOUNTYFAIR
KD,KENTUCKY DOWNS,KENTUCKYDOWNS
KEE,KEENELAND,KEENELAND
LA,LOS ALAMITOS,LOSALAMITOS
LAD,LOUISIANA DOWNS,LOUISIANADOWNS
LBG,LETHBRIDGE  RMTC,LETHBRIDGERMTC
LBT,LAUREL BROWN,LAURELBROWNRACETRACK
LEX,LEXINGTON,LEXINGTON
LNN,LINCOLN RACE COURSE,LINCOLNRACECOURSE
LRC,LOS ALAMITOS THOROUGHBRED,LOSALAMITOSTHOROUGHBRED
LRC,LOS ALAMITOS RACE COURSE,LOSALAMITOSRACECOURSE
LRL,LAUREL PARK,LAURELPARK
LS,LONE STAR,LONESTAR
LS,LONE STAR PARK,LONESTARPARK
MAL,MALVERN,MALVERN
MC,MILES CITY,MILESCITY
MD,MARQUIS DOWNS,MARQUISDOWNS
MED,MEADOWLANDS,MEADOWLANDS
MID,GLENWOOD PARK AT MIDDLEBURG,GLENWOODPARKATMIDDLEBURG
MNR,MOUNTAINEER,MOUNTAINEER
MNR,MOUNTAINEER CASINO RACETRACK  RESORT,MOUNTAINEERCASINORACETRACKRESORT
MON,MONKTON,MONKTON
MTH,MONMOUTH PARK,MONMOUTHPARK
MTP,MONTPELIER,MONTPELIER
MVR,MAHONING VALLEY RACE COURSE,MAHONINGVALLEYRACECOURSE
NP,NORTHLANDS PARK,NORTHLANDSPARK
ONE,ONEIDA FAIR,ONEIDACOUNTYFAIR
OP,OAKLAWN PARK,OAKLAWNPARK
OTP,OAK TREE AT PLEASANTON,OAKTREEATPLEASANTON
PEN,PENN NATIONAL,PENNNATIONAL
PID,PRESQUE ISLE DOWNS,PRESQUEISLEDOWNS
PIM,PIMLICO,PIMLICO
PLN,PLEASANTON,PLEASANTON
PM,PORTLAND MEADOWS,PORTLANDMEADOWS
PMT,PINE MTN,PINEMTN
PMT,PINE MTNCALLAWAY GARDEN,PINEMTNCALLAWAYGARDEN
POD,POCATELLO DOWNS,POCATELLODOWNS
PRM,PRAIRIE MEADOWS,PRAIRIEMEADOWS
PRV,CROOKED RIVER,CROOKEDRIVER
PRV,CROOKED RIVER ROUNDUP,CROOKEDRIVERROUNDUP
PRX,PARX RACING,PARXRACING
PW,PERCY WARNER,PERCYWARNER
RET,RETAMA PARK,RETAMAPARK
RIL,RILLITO,RILLITO
RP,REMINGTON PARK,REMINGTONPARK
RUI,RUIDOSO DOWNS,RUIDOSODOWNS
RUP,MINIDOKA FAIR,MINIDOKAFAIR
SA,SANTA ANITA PARK,SANTAANITAPARK
SAC,SACRAMENTO,SACRAMENTO
SAR,SARATOGA,SARATOGA
SDY,SANDY DOWNS,SANDYDOWNS
SHW,SHAWAN DOWNS,SHAWANDOWNS
SON,SANTA CRUZ,SANTACRUZ
SON,SANTA CRUZ COUNTY FAIR  SONOITA,SANTACRUZCOUNTYFAIRSONOITA
SRP,SUNRAY PARK,SUNRAYPARK
SUD,SUN DOWNS,SUNDOWNS
SUN,SUNLAND PARK,SUNLANDPARK
SWF,SWEETWATER DOWNS,SWEETWATERDOWNS
TAM,TAMPA BAY,TAMPABAY
TAM,TAMPA BAY DOWNS,TAMPABAYDOWNS
TDN,THISTLEDOWN,THISTLEDOWN
TIL,TILLAMOOK FAIR,TILLAMOOKFAIR
TIL,TILLAMOOK COUNTY FAIR,TILLAMOOKCOUNTYFAIR
TIM,TIMONIUM,TIMONIUM
TP,TURFWAY PARK,TURFWAYPARK
TRY,TRYON,TRYON
TUP,TURF PARADISE,TURFPARADISE
UN,OREGON LIVESTOCK,OREGONLIVESTOCK
UN,EASTERN OREGON LIVESTOCK SHOW,EASTERNOREGONLIVESTOCKSHOW
UN,EASTERN OREGON LIVESTOCK SHO W,EASTERNOREGONLIVESTOCKSHOW
UNI,PENNSYLVANIA HUNT CUP,PENNSYLVANIAHUNTCUP
WBR,WEBER DOWNS,WEBERDOWNS
WIL,WILLOWDALE STP,WILLOWDALESTEEPLECHASE
WNT,WINTERTHUR,WINTERTHUR
WO,WOODBINE,WOODBINE
WRD,WILL ROGERS,WILLROGERS
WRD,WILL ROGERS DOWNS,WILLROGERSDOWNS
WYO,WYOMING DOWNS,WYOMINGDOWNS
ZIA,ZIA PARK,ZIAPARK
