,trackName,month,day,year,raceNum,distance,surface,weather,conditions,startTime,startNote,segment1,segment2,segment3,segment4,segment5,segments,lastRaceDay,lastRaceMonth,lastRaceYear,lastRaceTrack,lastRaceNum,lastRacePlace,program,horse,jockey,weight,m_e,placePP,placeSeg1,lengthsSeg1,placeSeg2,lengthsSeg2,placeSeg3,lengthsSeg3,placeSeg4,lengthsSeg4,placeSeg5,lengthsSeg5,placeSeg6,lengthsSeg6,odds,comments,fracTime1,fracTime2,fracTime3,fracTime4,fracTime5,finalTime,runUp,wpsPool,firstPlaceWin,firstPlacePlace,firstPlaceShow,secondPlacePlace,secondPlaceShow,thirdPlaceShow,exactaBuyin,exactaFinish,exactaPayout,exactaPool,trifectaBuyin,trifectaFinish,trifectaPayout,trifectaPool,superfectaBuyin,superfectaFinish,superfectaPayout,superfectaPool,rlPlaceSeg1,rlLengthsSeg1,rlPlaceSeg2,rlLengthsSeg2,rlPlaceSeg3,rlLengthsSeg3,rlPlaceSeg4,rlLengthsSeg4,rlPlaceSeg5,rlLengthsSeg5,rlPlaceFin,rlLengthsFin,rlLengthsSeg6,rlPlaceSeg6,trainer,owner,daily doubleBuyin,daily doubleFinish,daily doublePayout,daily doublePool
0,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,30,Aug,18,DMR,7,7,4,What'sontheagenda,"Pereira, Tiago",124,L b2,4,1,11/2,1,5,1,31/2,1,Head,1,,,,5.00,"speed,inside,held",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",1,,1,11/2,1,5,1,31/2,1,Head,,,,,"O'Neill, Doug","Beerman Family Trust, Hall, Greg and Sayjay Racing LLC",,,,
1,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,30,Jun,18,LS,2,1,8,Chosen Vessel,"Maldonado, Edwin",124,L 7,3,5,11/2,6,7,4,2,2,3,,,,,14.80,"came out str,rallied",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",3,,5,61/2,6,81/4,4,51/2,2,Head,,,,,"Dollase, Craig",Masino Racing Stable,,,,
2,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,21,Oct,18,SA,6,4,9,Exultation,"Franco, Geovanni",124,L b 8,2,3,11/2,3,Head,3,11/2,3,Neck,,,,,2.00,"stalked inside,held 3d",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",2,,3,4,3,5,3,4,3,3,,,,,"Eurton, Peter",C R K Stable LLC,,,,
3,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,18,Nov,18,DMR,5,8,2,Hollywood Square,"Gutierrez, Mario",124,L 2,6,4,1,4,3,2,1/2,4,3/4,,,,,5.00,"3wd into str,edged 3rd",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",6,,4,51/2,4,51/4,2,31/2,4,31/4,,,,,"O'Neill, Doug",Reddam Racing LLC,,,,
4,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,24,Nov,18,DMR,6,8,7,Bellerin,"Van Dyke, Drayden",124,L 6,5,6,3,5,Head,5,Head,5,4,,,,,3.00,"came out str,no rally",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",5,,6,8,5,81/4,5,71/2,5,4,,,,,"Gaines, Carla",Keith Brackpool,,,,
5,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,2,Nov,18,GG,9,11,5,Conquest Superstar,"Quinonez, Alonso",124,L b 5,4,2,21/2,2,Head,6,6,6,1,,,,,44.70,"btwn into str,wkened",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",4,,2,11/2,2,5,6,71/2,6,8,,,,,"Mandella, Gary","Double JH Stable, Inc., Roman, Jennifer Gayle and Roman, Paige Lauren",,,,
6,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,26,Dec,18,SA,10,12,3,Taki's Choice,"Figueroa, Heriberto",119,L b 3,7,7,5,7,2,7,4,7,7,,,,,4.50,"off bit slow,no rally",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",7,,7,11,7,151/4,7,131/2,7,9,,,,,"D'Amato, Philip",Anthony J. Chacon,,,,
7,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,24,Nov,18,LA,2,1,1,Anziyan Cat,"Vergara, Jr., Octavio",124,L bf 1,8,8,,8,,8,,8,,,,,,83.20,"broke in,slowly",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",8,,8,16,8,171/4,8,171/2,8,16,,,,,"Sierra, Javier","Sierra Stables, Inc. and Ayala, Maria",,,,
0,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,13,Dec,18,LRC,3,1,1,Smart Rachel,"Flores, Eswan",122,L b 1,1,1,1,1,1/2,1,2,1,21/2,1,31/2,,,2.70,"inside,met bid,cleared",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",1,,1,1,1,1/2,1,2,1,21/2,,,31/2,1,"Palma, Hector",BG Stables,$2.00,4-1,45.80,"34,245"
1,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,14,Dec,18,LRC,1,3,2,Miz Tianjin,"Maldonado, Edwin",122,L b 2,5,3,Head,4,1/2,2,Head,2,1,2,Nose,,,2.60,"stalked rail,held 2nd",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",5,,3,2,4,11/2,2,2,2,21/2,,,31/2,2,"Pender, Michael","Pender Racing LLC and Medina, David",$2.00,4-1,45.80,"34,245"
